wavelength,index,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
390,284.0,1.4391515999999999e-06,1.2589597636772628e-05,1.0097171054821073e-05,1.0301667715482174e-05,1.1485103447160281e-05,8.709238662481865e-06,1.3654111708902921e-05,8.9289445017013e-06,1.0097171054821073e-05,0.00046412284466668813,1.2582964177725101e-05,0.7752099910635942,0.09416919117367566,1.1156446989751574e-06,3.0,0.0
395,332.0,8.861263999999999e-07,2.01158715043332e-05,1.00579357521666e-05,1.00579357521666e-05,1.1119598556417235e-05,1.0055422240200204e-05,1.5178089443984912e-05,1.104480802950797e-05,1.1119598556417235e-05,0.0010985399695136136,1.0060449264132995e-05,0.7673142721746704,0.09416919117367566,6.799374336707608e-07,3.0,0.0
400,379.0,3.137592e-07,0.000326669805770237,2.256007193537955e-05,2.256007193537955e-05,2.7131956563023278e-05,2.4688955298869576e-05,3.618623287373942e-05,2.4688955298869576e-05,2.7035080269539674e-05,0.0031873052990445904,2.464817106744352e-05,0.9667206283701457,0.09416919117367566,3.0331749098091423e-07,3.0,0.314662684109168
405,285.0,3.340382e-07,0.00362326363889219,1.9397365382266802e-05,2.330856314547374e-05,2.3340535327088156e-05,2.3398885642507074e-05,3.099219127263508e-05,2.1413547717542385e-05,2.7201032645468854e-05,0.004323751448013256,1.7502349954335455e-05,1.0554545245071771,0.09416919117367566,3.525621295482333e-07,3.0,0.3185959676605326
410,333.0,3.7174339999999996e-07,0.007649933848239472,2.12080138689926e-05,2.3338168718398728e-05,2.7734459831017527e-05,2.3393035931681016e-05,3.819823760051941e-05,2.12080138689926e-05,2.12080138689926e-05,0.0058977967505153585,1.9201492781457192e-05,0.867717787402379,0.09416919117367566,3.225683605294375e-07,3.0,0.3225292512118972
415,380.0,4.345822e-07,0.00919011131058733,1.838667160336762e-05,2.241911257060522e-05,2.0466452981512116e-05,2.0466452981512116e-05,3.481889397884267e-05,2.0466452981512116e-05,2.4625186687951138e-05,0.0065048561670863845,2.4562935137750157e-05,0.7687430652441882,0.09416919117367566,3.3408205252856287e-07,3.0,0.3264625347632618
420,286.0,4.75334e-07,0.008433715060899925,1.9411683856225158e-05,1.7768409052824317e-05,1.6179973998496767e-05,1.7768409052824317e-05,2.7391608526022313e-05,1.6179973998496767e-05,1.7781780311983385e-05,0.006396288952321663,1.6179973998496767e-05,0.888754820206089,0.09416919117367566,4.224553837078411e-07,3.0,0.3303958183146264
425,334.0,4.840878000000001e-07,0.007193879461614432,0.0011398391359639722,1.403690507551205e-05,1.403690507551205e-05,1.4065076791383948e-05,1.912908563346184e-05,1.403690507551205e-05,1.4024905950182223e-05,0.006603957553544132,1.658452684528353e-05,1.105989105491337,0.09416919117367566,5.353958329012692e-07,3.0,0.33432910186599096
430,381.0,5.151104e-07,0.0057895370071793404,0.005501330146872044,1.4239450533931905e-05,1.6878693416926028e-05,1.564346767230994e-05,2.0701267714256952e-05,1.298658551550675e-05,1.5506151855976324e-05,0.008005225439894056,1.3050564757562209e-05,1.0220796953091742,0.09416919117367566,5.264838806825868e-07,3.0,0.33826238541735554
435,287.0,6.019484e-07,0.0026180655057031015,0.012336399715007051,1.5651129161794277e-05,1.4253896812597677e-05,1.4269421967311941e-05,2.5744379236230685e-05,1.5651129161794277e-05,1.5651129161794277e-05,0.009256862617348437,1.846433700020833e-05,0.7968734099329555,0.09416919117367566,4.796766741116867e-07,3.0,0.34219566896872017
