time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-03-11 09:46:17.490232,390,4.356e-07,77,5,5,6,6,5,5,5,412,6
2025-03-11 09:46:22.885968,405,4.40015e-07,1042,10,5,19,13,19,16,5,948,6
2025-03-11 09:46:26.711501,420,5.97239e-07,1665,260,10,34,34,39,57,29,1468,6
2025-03-11 09:46:30.571778,435,8.07078e-07,441,2325,56,56,40,76,90,62,1942,6
2025-03-11 09:46:34.431104,450,9.34475e-07,68,4799,668,33,69,58,88,119,2810,39
2025-03-11 09:46:38.324372,465,1.13766e-06,56,2629,3926,125,138,72,130,190,3450,92
2025-03-11 09:46:42.211642,480,1.23262e-06,112,263,7495,742,187,85,128,127,4394,180
2025-03-11 09:46:46.088572,495,1.32581e-06,236,46,6436,4502,188,105,205,164,5634,343
2025-03-11 09:46:49.968656,510,1.54954e-06,147,61,1598,11349,561,107,195,242,6390,333
2025-03-11 09:46:53.857955,525,1.59034e-06,240,115,310,12327,2973,136,323,324,7742,431
2025-03-11 09:46:57.750267,540,1.64038e-06,242,185,144,5475,11460,381,401,268,8872,440
2025-03-11 09:47:01.637703,555,1.76591e-06,272,281,182,1347,17956,1665,280,270,9511,745
2025-03-11 09:47:05.509400,570,1.80378e-06,352,233,282,379,13249,7017,550,430,10295,720
2025-03-11 09:47:09.359268,585,1.82041e-06,326,238,433,289,4099,18355,1769,507,10889,1501
2025-03-11 09:47:13.221163,600,1.83307e-06,314,247,553,259,938,18227,5496,279,11377,1028
2025-03-11 09:47:17.094761,615,1.77673e-06,327,252,358,364,232,9984,14534,502,12022,976
2025-03-11 09:47:20.972723,630,1.72001e-06,381,361,395,433,308,2573,21840,1423,12251,1264
2025-03-11 09:47:24.847327,645,1.75738e-06,402,482,466,343,457,756,18790,5156,12475,1068
2025-03-11 09:47:28.726390,660,1.78662e-06,424,511,461,396,599,432,11353,16678,13574,934
2025-03-11 09:47:32.563959,675,1.67399e-06,526,467,359,455,797,485,4349,29734,14432,1207
2025-03-11 09:47:36.441570,690,1.55294e-06,547,520,375,416,990,427,2102,28779,14441,1759
2025-03-11 09:47:41.192114,393,2.90484e-07,174,6,5,6,5,6,6,5,540,6
2025-03-11 09:47:46.586699,408,4.80835e-07,1237,22,5,17,19,23,21,6,1012,6
2025-03-11 09:47:50.424148,423,5.98341e-07,1649,468,12,39,39,42,75,41,1653,6
2025-03-11 09:47:54.283096,438,8.72079e-07,237,2913,88,40,43,70,83,64,1997,11
2025-03-11 09:47:58.161965,453,9.42686e-07,51,4888,1038,40,75,60,89,142,3029,53
