index,time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
0,2025-02-04 14:34:14.863390,390,1.48495e-06,5.679887643086379e-06,5.679887643086379e-06,5.679887643086379e-06,5.679887643086379e-06,5.679887643086379e-06,1.1359775286172759e-05,8.51983146462957e-06,8.51983146462957e-06,0.00040895191030221935,5.679887643086379e-06,0.7752099910635942,0.09010647482591322,1.1511480762298843e-06,1,0.0
1,2025-02-04 14:34:18.962491,405,3.33195e-07,0.0031235050823587665,1.859229215689742e-05,2.788843823534613e-05,1.859229215689742e-05,1.859229215689742e-05,1.859229215689742e-05,1.859229215689742e-05,2.788843823534613e-05,0.004824699814714881,1.859229215689742e-05,1.0554545245071771,0.09010647482591322,3.516721702931689e-07,1,0.30485086663531036
2,2025-02-04 14:34:22.504789,420,4.78154e-07,0.008185266175678505,2.3078758014131124e-05,2.3078758014131124e-05,1.5385838676087416e-05,1.5385838676087416e-05,3.077167735217483e-05,2.3078758014131124e-05,2.3078758014131124e-05,0.006746690259464332,1.5385838676087416e-05,0.888754820206089,0.09010647482591322,4.249616723008223e-07,1,0.31614163947365514
3,2025-02-04 14:34:26.059720,435,5.88828e-07,0.0032537189206250715,0.01081321577047133,2.090183460786984e-05,1.3934556405246559e-05,1.3934556405246559e-05,1.3934556405246559e-05,2.090183460786984e-05,2.090183460786984e-05,0.009593942085012257,1.3934556405246559e-05,0.7968734099329555,0.09010647482591322,4.6922137622400234e-07,1,0.32743241231199993
4,2025-02-04 14:34:29.579431,450,7.54914e-07,1.929482992537714e-05,0.015932705810880174,0.0004630759182090514,9.64741496268857e-06,1.4471122444032856e-05,9.64741496268857e-06,1.4471122444032856e-05,1.4471122444032856e-05,0.009271165779143716,9.64741496268857e-06,0.8977646445372287,0.09010647482591322,6.777350988661775e-07,1,0.3387231851503448
5,2025-02-04 14:34:33.113341,465,8.97193e-07,8.91000596762577e-06,0.00787644527538118,0.012540833399433269,1.3365008951438652e-05,1.3365008951438652e-05,8.91000596762577e-06,1.3365008951438652e-05,1.782001193525154e-05,0.011770117883233643,1.3365008951438652e-05,0.8179129141981855,0.09010647482591322,7.338257412282125e-07,1,0.3500139579886896
6,2025-02-04 14:34:36.685400,480,1.03516e-06,7.474159644813139e-06,1.121123946721971e-05,0.021652640491023663,0.00034754842348381094,1.121123946721971e-05,7.474159644813139e-06,1.121123946721971e-05,1.121123946721971e-05,0.012111875704419692,1.121123946721971e-05,0.8450863461311687,0.09010647482591322,8.747995820611407e-07,1,0.3613047308270344
7,2025-02-04 14:34:40.159020,495,1.09456e-06,1.2058104726929523e-05,1.2058104726929523e-05,0.016757751044250303,0.007988494381590808,9.043578545197142e-06,6.029052363464762e-06,9.043578545197142e-06,1.2058104726929523e-05,0.013369423615983107,9.043578545197142e-06,0.9907915817298898,0.09010647482591322,1.0844808336982681e-06,1,0.3725955036653793
8,2025-02-04 14:34:43.670634,510,1.30562e-06,1.173064946153003e-05,8.797987096147522e-06,0.0034341476298629164,0.025646132385270026,8.797987096147522e-06,5.865324730765015e-06,8.797987096147522e-06,8.797987096147522e-06,0.014783550983893222,8.797987096147522e-06,0.8538116593234863,0.09010647482591322,1.1147535786459302e-06,1,0.3838862765037241
9,2025-02-04 14:34:47.221535,525,1.40696e-06,4.9594710222954635e-06,7.439206533443195e-06,9.918942044590927e-06,0.025630546243222956,0.003474109451117973,9.918942044590927e-06,7.687180084557967e-05,7.439206533443195e-06,0.015104068998400834,7.439206533443195e-06,0.9370307199587392,0.09010647482591322,1.3183647417531477e-06,1,0.39517704934206893
