time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-02-19 12:30:49.110001,390,1.08684e-06,2,3,3,3,2,2,2,3,10,2
2025-02-19 12:30:53.158714,405,3.16337e-07,404,2,2,3,2,2,2,3,330,2
2025-02-19 12:30:56.635929,420,4.72867e-07,791,3,3,3,2,2,3,2,618,2
2025-02-19 12:31:00.072017,435,5.9366e-07,45,1211,3,3,2,4,3,3,1041,2
2025-02-19 12:31:03.556426,450,7.78563e-07,2,2661,19,3,2,4,3,3,1440,2
2025-02-19 12:31:07.067980,465,9.11886e-07,2,1566,2091,3,2,2,3,3,2022,2
2025-02-19 12:31:10.534625,480,1.02209e-06,4,3,4522,129,3,2,3,3,2483,2
2025-02-19 12:31:14.037339,495,1.11085e-06,4,3,4403,2805,2,2,3,3,3426,3
2025-02-19 12:31:17.548521,510,1.31564e-06,2,3,971,7670,3,2,3,3,3909,2
2025-02-19 12:31:21.045291,525,1.41144e-06,3,3,4,8113,1260,2,3,3,4692,3
2025-02-19 12:31:24.548552,540,1.44293e-06,4,3,3,3305,7108,3,16,3,5651,3
2025-02-19 12:31:28.112996,555,1.59449e-06,4,4,3,648,11978,622,3,3,6114,70
2025-02-19 12:31:31.638347,570,1.64295e-06,4,3,4,4,8926,4051,4,4,6592,103
2025-02-19 12:31:35.128431,585,1.71859e-06,4,3,26,3,2531,13409,676,68,6987,412
2025-02-19 12:31:38.631772,600,1.7238e-06,3,3,102,4,382,14336,3068,4,7313,317
2025-02-19 12:31:42.150591,615,1.70858e-06,3,3,3,4,2,8216,9614,3,7752,291
2025-02-19 12:31:45.673269,630,1.6544e-06,4,4,9,52,3,2207,16132,459,8024,505
2025-02-19 12:31:49.205581,645,1.73691e-06,20,78,65,4,6,373,14364,2933,8238,368
2025-02-19 12:31:52.721047,660,1.80487e-06,31,66,27,4,125,59,8545,11643,8873,265
2025-02-19 12:31:56.208679,675,1.74316e-06,124,47,4,68,253,125,3390,21766,9347,418
2025-02-19 12:31:59.718653,690,1.60655e-06,181,98,4,22,360,46,1307,21911,9473,697
2025-02-19 12:32:03.829358,705,1.54332e-06,15,125,39,4,162,30,515,14188,8700,404
2025-02-19 12:32:07.295647,720,1.53499e-06,4,80,106,4,81,175,206,4499,7865,374
2025-02-19 12:32:10.789469,735,1.44196e-06,33,66,19,3,109,216,56,869,7137,451
2025-02-19 12:32:14.303153,750,1.26033e-06,109,107,43,4,17,25,3,49,6640,420
2025-02-19 12:32:17.799659,765,1.09446e-06,13,75,17,72,2,117,21,3,6123,494
2025-02-19 12:32:21.304494,780,9.72041e-07,58,105,4,120,3,214,76,4,5515,634
2025-02-19 12:32:24.805919,795,8.47968e-07,4,118,3,10,3,4,3,4,4832,305
2025-02-19 12:32:28.305477,810,7.61279e-07,4,3,4,49,2,4,3,3,4115,174
2025-02-19 12:32:31.799165,825,6.95651e-07,4,3,3,4,3,4,3,3,3511,330
2025-02-19 12:32:35.322140,840,6.6754e-07,4,4,3,3,3,4,3,3,2988,664
2025-02-19 12:32:38.789955,855,6.49938e-07,3,3,3,3,3,4,3,3,2583,1319
2025-02-19 12:32:42.297780,870,6.24853e-07,4,3,3,3,2,4,3,3,2235,2467
2025-02-19 12:32:45.819442,885,6.38975e-07,2,3,3,3,2,4,3,3,1942,4339
2025-02-19 12:32:49.322424,900,6.24182e-07,4,3,3,3,2,4,3,3,1699,6566
2025-02-19 12:32:52.830048,915,5.80478e-07,2,3,3,3,2,4,3,3,1472,8183
