sensor_type,sensor_number,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_clear,coef_nir
Calibration,1,29.11024906826017,16.9939655307408,12.12624803747697,9.901982375441948,9.042761980427278,7.284044445211508,6.791485333465561,5.4651270923709445,-5.046215405876729,0.2517810735710138
Calibration,2,37.29792177789769,21.262297900993367,16.97708091868878,15.273172741787826,13.322099267749344,10.722226448569405,12.60345612650626,8.685011472704995,-5.392285634902561,0.3293555215696629
Calibration,3,38.05196424495017,21.2806692397086,17.154453715770284,14.894713879313365,13.227683720750496,11.686852936708064,12.516697064035778,9.850906196547744,-6.069419866752719,0.3890088719154622
Calibration,4,42.49675613158447,26.139274556590813,21.524250184394386,18.66096017047156,15.967648379605182,12.940516821213984,16.170514930093518,12.961724536616916,-7.470744826175291,0.44167143908077555
