time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-02-03 14:48:08.684128,390,4.27228e-06,2,2,3,3,1,2,2,2,90,2
2025-02-03 14:48:12.743966,405,3.33002e-07,366,2,2,3,2,4,2,3,441,2
2025-02-03 14:48:16.275342,420,4.75744e-07,1025,3,2,2,2,4,2,3,781,2
2025-02-03 14:48:19.819662,435,5.81921e-07,362,1704,2,2,2,4,2,2,1284,2
2025-02-03 14:48:23.337873,450,7.4853e-07,4,3338,66,2,3,2,2,2,1789,2
2025-02-03 14:48:26.851530,465,8.93921e-07,3,1528,2783,2,3,4,2,3,2480,3
2025-02-03 14:48:30.399703,480,1.03645e-06,4,3,5794,4,2,4,3,3,3038,3
2025-02-03 14:48:33.905504,495,1.0701e-06,3,2,5519,2134,2,4,3,3,4179,3
2025-02-03 14:48:37.431355,510,1.29548e-06,4,2,1162,8294,4,4,3,3,4780,3
2025-02-03 14:48:40.965458,525,1.38191e-06,4,2,3,10563,1456,4,25,3,5747,3
2025-02-03 14:48:44.563207,540,1.44259e-06,4,2,3,6333,8820,3,68,3,6946,3
2025-02-03 14:48:48.084441,555,1.57384e-06,4,3,3,1353,15758,643,3,3,7611,148
2025-02-03 14:48:51.611913,570,1.63806e-06,19,3,3,104,12172,4553,13,4,8261,221
2025-02-03 14:48:55.116200,585,1.67832e-06,6,4,69,5,3664,15811,781,142,8784,496
2025-02-03 14:48:58.607188,600,1.71105e-06,4,2,156,3,645,18696,3787,3,9295,496
2025-02-03 14:49:02.110696,615,1.68124e-06,4,2,3,4,2,12084,13052,3,9913,403
2025-02-03 14:49:05.607046,630,1.64007e-06,4,3,47,72,3,3075,21913,393,10301,856
2025-02-03 14:49:09.180699,645,1.6987e-06,57,118,138,4,100,512,20506,2760,10569,405
2025-02-03 14:49:12.711908,660,1.79541e-06,60,53,90,21,230,108,13190,12900,11421,376
2025-02-03 14:49:16.212033,675,1.70188e-06,143,62,3,84,440,146,4991,28829,12151,657
2025-02-03 14:49:19.717326,690,1.59678e-06,214,107,5,68,649,77,1971,31000,12465,796
2025-02-03 14:49:23.786327,705,1.52921e-06,51,161,102,10,344,73,661,21920,11446,520
2025-02-03 14:49:27.315723,720,1.49913e-06,17,94,160,11,229,283,316,8101,10477,618
2025-02-03 14:49:30.828914,735,1.41433e-06,55,84,49,3,306,556,14,2120,9591,695
2025-02-03 14:49:34.419315,750,1.25442e-06,128,142,108,3,211,75,3,257,8920,555
2025-02-03 14:49:37.961525,765,1.09678e-06,95,167,115,88,3,212,54,35,8347,767
2025-02-03 14:49:41.555595,780,9.60682e-07,149,214,33,236,2,369,122,34,7524,1098
2025-02-03 14:49:45.044143,795,8.45238e-07,103,149,40,69,3,4,20,125,6675,356
2025-02-03 14:49:48.572429,810,7.55332e-07,3,3,8,88,3,4,37,3,5716,293
2025-02-03 14:49:52.106741,825,6.92706e-07,2,9,4,179,3,4,140,4,4886,537
2025-02-03 14:49:55.642789,840,6.45401e-07,4,40,4,3,3,4,59,16,4194,1075
2025-02-03 14:49:59.184070,855,6.37638e-07,4,47,4,3,2,4,3,3,3667,2157
2025-02-03 14:50:02.721522,870,6.38487e-07,4,3,3,3,2,4,2,3,3182,4082
2025-02-03 14:50:06.262759,885,6.32612e-07,2,2,3,3,3,4,2,3,2813,7371
2025-02-03 14:50:09.808060,900,6.13592e-07,4,2,3,3,2,4,2,3,2454,10550
2025-02-03 14:50:13.310260,915,5.84893e-07,4,3,3,3,2,4,2,3,2166,14026
2025-02-03 14:50:16.835990,930,5.33702e-07,2,3,3,3,2,4,3,3,1900,13669
2025-02-03 14:50:20.371177,945,5.08447e-07,4,2,2,3,2,4,2,2,1619,11759
2025-02-03 14:50:23.882894,960,4.80386e-07,4,2,3,3,2,4,3,2,1349,10044
2025-02-03 14:50:27.405949,975,4.7326e-07,4,3,2,3,3,4,3,3,1038,7747
2025-02-03 14:50:30.902976,990,4.65794e-07,4,2,3,2,2,3,2,2,739,5451
2025-02-03 14:50:34.403293,1005,4.69757e-07,4,2,3,3,2,4,3,3,489,3773
2025-02-03 14:50:37.917423,1020,4.65291e-07,4,2,3,2,3,2,3,3,272,2747
2025-02-03 14:50:41.468390,1035,4.50784e-07,2,2,2,2,2,4,2,2,103,1562
2025-02-03 14:50:44.981794,1050,4.4608e-07,2,2,3,3,3,4,3,2,3,1262
2025-02-03 14:50:48.440034,1065,4.09225e-07,4,2,3,3,2,4,2,3,3,679
2025-02-03 14:50:51.992409,1080,4.19232e-07,2,2,2,3,2,4,2,3,3,332
2025-02-03 14:50:55.487736,1095,4.54913e-07,2,2,2,2,3,3,2,2,2,175
2025-02-03 14:51:01.082488,395,9.07159e-07,4,2,2,2,2,2,2,2,214,2
2025-02-03 14:51:05.151091,410,3.66417e-07,709,2,3,3,2,4,2,2,550,2
2025-02-03 14:51:08.689884,425,4.71961e-07,1113,174,2,2,3,2,2,2,1023,2
2025-02-03 14:51:12.252116,440,6.81974e-07,4,2411,2,3,2,4,2,2,1331,3
2025-02-03 14:51:15.793368,455,7.76422e-07,2,3411,542,3,2,2,2,3,2118,2
2025-02-03 14:51:19.343368,470,9.55994e-07,3,493,4358,3,3,4,2,3,2584,2
2025-02-03 14:51:22.892358,485,1.02614e-06,4,2,6288,304,3,2,2,3,3471,2
2025-02-03 14:51:26.439525,500,1.15097e-06,4,2,3941,4024,2,4,2,3,4396,4
2025-02-03 14:51:29.924078,515,1.36296e-06,4,2,575,9755,180,4,3,4,5046,4
2025-02-03 14:51:33.446531,530,1.39885e-06,3,2,3,10213,2983,2,70,3,6221,3
2025-02-03 14:51:36.980924,545,1.48119e-06,4,3,3,3616,12856,8,81,3,7224,47
2025-02-03 14:51:40.521298,560,1.60641e-06,4,3,3,732,15318,1335,2,3,7837,64
2025-02-03 14:51:44.015050,575,1.65927e-06,38,2,3,44,9044,7628,165,46,8469,412
2025-02-03 14:51:47.521019,590,1.71028e-06,4,3,145,3,2403,18308,1384,123,8934,282
2025-02-03 14:51:51.015013,605,1.73066e-06,4,2,48,3,161,17356,5919,3,9502,521
2025-02-03 14:51:54.537288,620,1.67483e-06,4,3,17,34,3,8470,17604,25,10155,504
2025-02-03 14:51:58.004728,635,1.63854e-06,23,23,62,112,9,1945,21835,771,10248,881
