wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
390,1.0507084e-06,0.003526165792462497,0.0002712262949467257,0.0002921906816349837,0.000307281857917557,0.0002921837487983738,0.000307281857917557,0.000307281857917557,0.00029969935149153803,0.023578904870537633,0.00029212377790212887,0.7961683497157319,1.0,8.36540772860457e-07,3.0,0.0
393,2.904536e-07,0.024530855663179835,0.0007813946645477899,0.0008717424231495796,0.0009018583652887413,0.0008416343733281455,0.0009018583652887413,0.0008117621476255862,0.0008416081744327583,0.08537507888818288,0.0008418701974470203,0.8310493721634306,1.0,2.413812819226082e-07,3.0,0.0
396,2.9826940000000003e-07,0.04438524721885771,0.0007812405490365057,0.000807977106030458,0.0007809738889877603,0.0007540390133137165,0.0007810217315268392,0.0007542373319938079,0.0007809943878173355,0.09377747500235882,0.0007809943878173355,0.9033048831121044,1.0,2.6942820550291755e-07,3.0,0.0
399,3.011198e-07,0.06942470998392086,0.0006212186355635056,0.0006692078877553755,0.0006929967991149875,0.0006931972137565913,0.0006691553446663187,0.0006692399132424351,0.0006692978362751788,0.09939254842090187,0.000669097421633575,1.008347860961702,1.0,3.036335062232155e-07,3.0,0.0
402,4.11335e-07,0.05928553661807172,0.0004278148189188924,0.000460689386076947,0.0004936368354476155,0.0004442006433569896,0.0004936368354476155,0.0004773143102930305,0.0004936368354476155,0.06609711297918783,0.0004771860460684028,1.0721133015810858,1.0,4.409977249058559e-07,3.0,3.358168351966427
405,4.370148e-07,0.07375237401347345,0.0004318004503073917,0.0004472542689564388,0.0004626889175357197,0.0004470456644379762,0.0007401807898972266,0.0004626889175357197,0.0004472474442850256,0.06889379435648219,0.0004473455531221034,1.0765988100637658,1.0,4.704896136602546e-07,3.0,3.383229309816923
408,4.798278e-07,0.0852679013364713,0.0004664602847272095,0.00040630872455465724,0.00045139288081465207,0.0005268047574521258,0.001519739144036174,0.00048150489595268563,0.00045139288081465207,0.07142502269688737,0.00040630872455465724,1.0050775584213087,1.0,4.822641536866681e-07,3.0,3.4082902676674185
411,5.291648e-07,0.0927989932880223,0.0014520441398205943,0.00041492311215827473,0.0005924504834771285,0.0007851518777644284,0.002281805322624684,0.0007999990031577617,0.00042968140019991884,0.07420349142404359,0.00042967612521600226,0.9254745488750389,1.0,4.897285545605503e-07,3.0,3.433351225517914
414,5.697572e-07,0.09613106569320795,0.0033822070447115313,0.00041560039375423285,0.000731087379275068,0.0012752767362692766,0.002106604026646919,0.0012467775051284817,0.00041566155285702514,0.07718536706969639,0.0004299251869147194,0.888702278223182,1.0,5.063445216740612e-07,3.0,3.45841218336841
417,5.903852e-07,0.09575400405672536,0.007077884062956899,0.00040064585251400507,0.0007745439503402941,0.0011885409382672886,0.001428911906091472,0.001989671399065222,0.0006142426116189674,0.08044915761553861,0.00040064585251400507,0.9203293447010733,1.0,5.43348824237212e-07,3.0,3.483473141218906
420,5.943324e-07,0.0906085298511998,0.013449500613858148,0.00032718283690212526,0.0010785816501596415,0.000981469457730204,0.0015142783715377233,0.002883991784433768,0.0011026381865320552,0.08290216981215257,0.00033922952156157087,1.007635271365675,1.0,5.98870289155413e-07,3.0,3.5085340990694016
423,5.960678e-07,0.08091104525378953,0.023692871550906748,0.0003310605703963186,0.0012029065361470893,0.0013241851302103487,0.0018098535511956802,0.003178097756511444,0.001268999774449043,0.08480649145982783,0.00032001722320111197,1.1031522625317642,1.0,6.575535421923311e-07,3.0,3.533595056919897
426,6.148330000000001e-07,0.06660728378657102,0.03917024997226167,0.0002798278435429315,0.001554806856810659,0.001751800508722564,0.0024149862325102437,0.0030265384839678923,0.0015134463081584394,0.08647730551221501,0.0002798278435429315,1.138619329346705,1.0,7.000607381202227e-07,3.0,3.558656014770393
429,6.618e-07,0.048391104174544106,0.06082721948003661,0.00033380435991393984,0.00183022456958351,0.001759215370766958,0.002972571561006771,0.002952189957286096,0.0016076149750744826,0.08787412336310685,0.00027295250846015703,1.0844206876397038,1.0,7.17669611079956e-07,3.0,3.5837169726208886
432,7.316708e-07,0.030844976558608073,0.08807300327510945,0.0007641259725125486,0.0022104852255689015,0.001130641685371092,0.002974335084527547,0.002719676488473063,0.0018540873082222753,0.08966206476142446,0.00025466484295924065,0.9735811656930607,1.0,7.123409103675743e-07,3.0,3.6087779304713843
435,8.066622e-07,0.017272323434915877,0.11495230022042804,0.0013954355280031993,0.0016539627606877456,0.0010128806881130957,0.002625388674583625,0.002222347736294346,0.0019431542593076306,0.09177749970590884,0.00028940783055178283,0.8702618572850851,1.0,7.020073443736728e-07,3.0,3.63383888832188
438,8.72018e-07,0.008880911425021775,0.1379523108951673,0.0027366053839803822,0.0007228407338933288,0.0011669088011799934,0.0025712795460342613,0.0019206746560238412,0.0018175174673740527,0.09426076084829982,0.00029946884485258405,0.8058128852904037,1.0,7.026833406051673e-07,3.0,3.6588998461723756
441,9.147269999999999e-07,0.005233418378971298,0.15464519906737767,0.0049428250730554,0.0003308981524374027,0.0015339804341103905,0.0022156749641579314,0.001984999485761237,0.001844750486172458,0.09695751126446044,0.0002707097170860415,0.7912476169635306,1.0,7.237755589221995e-07,3.0,3.6839608040228717
444,9.333724000000001e-07,0.0036311370313151783,0.16267191892004193,0.008761755631541773,0.0002923685248716939,0.0017542985519432442,0.0016127156600215316,0.0020653596972288147,0.002310677552390829,0.0996610327381113,0.00026406101822425566,0.8243026888073762,1.0,7.693813789785939e-07,3.0,3.709021761873367
447,9.343714e-07,0.0026112472975848787,0.16465527421276838,0.014593147979083027,0.0003580587178483091,0.0015545526588174772,0.001493350339290895,0.0020609897487875776,0.0029256461800809042,0.10178517346230578,0.00032317368519072605,0.8892487618919386,1.0,8.308886105972375e-07,3.0,3.734082719723863
450,9.325744e-07,0.0016680320130084008,0.1610240827690854,0.023448702620480544,0.0004695566905590032,0.0014978641812200058,0.0014817148942947794,0.0021861291500798164,0.0036517498301483335,0.10330896205156222,0.0006640942217552495,0.960970629119928,1.0,8.961766078691394e-07,3.0,3.7591436775743587
453,9.42025e-07,0.0011282717857226618,0.1514131131507849,0.03595299384910756,0.0006480871641983919,0.001555195003479161,0.0013188631463478292,0.0023937560779993543,0.004459809571500092,0.10457326709101152,0.0009986517907419781,1.0103928914669127,1.0,9.518153635841183e-07,3.0,3.7842046354248544
456,9.715486e-07,0.000971376345850157,0.13539789492999815,0.05340125103213093,0.0008535721741386342,0.0017366426710035728,0.0013319489174700929,0.002663888540778655,0.00510681758868888,0.10577204439959734,0.001317220201696131,1.0149784053251454,1.0,9.861008487238776e-07,3.0,3.80926559327535
459,1.0193199999999998e-06,0.0009718606126233829,0.11300911244340846,0.07650175255300343,0.0012618518712006132,0.002153853381489289,0.0014648552803963513,0.0030169124213997372,0.005301233505312843,0.10704751815596389,0.0016751771572538273,0.9816206996427768,1.0,1.0005856115598752e-06,3.0,3.8343265511258458
462,1.078298e-06,0.0009917259299037607,0.08575333426421265,0.10577634543150878,0.001889304245399646,0.002750848697346941,0.0017156420649213446,0.0030691818787690053,0.005378496724499517,0.10887468943843177,0.0018821077130217155,0.9296035196718868,1.0,1.0023896160551562e-06,3.0,3.8593875089763414
465,1.1383220000000002e-06,0.0011128500553215666,0.05702031158167305,0.13977955304702264,0.002637553672765358,0.0034034314371073917,0.0018570280544230465,0.002738583983067236,0.00598304122880613,0.11068778487763693,0.002203977172537975,0.8821701982819793,1.0,1.0041937444487392e-06,3.0,3.8844484668268375
