wavelength,index,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
390,284.0,8.628154000000001e-07,1.3404873332502411e-05,1.461745855390356e-05,1.2080012673589584e-05,1.0904884473712179e-05,1.0904884473712179e-05,1.438462078704159e-05,1.3819880830254292e-05,1.5069875259649408e-05,0.0008095023320480177,1.0904884473712179e-05,0.7752099910635942,0.09183599738845058,6.688631185235315e-07,3.0,0.0
395,332.0,8.530764e-07,1.2076816095701163e-05,1.5266624613590866e-05,1.631567733979327e-05,1.0177749742393912e-05,1.2250927138229448e-05,1.0177749742393912e-05,1.2256325075310672e-05,1.3287568830222888e-05,0.001456993189116423,1.0177749742393912e-05,0.7673142721746704,0.09183599738845058,6.545776969753879e-07,3.0,0.0
400,379.0,3.174502e-07,6.444428106193618e-05,2.5902361161346208e-05,2.8020870069142648e-05,2.8202057513863692e-05,2.3830222864087933e-05,3.052300037992263e-05,2.8202057513863692e-05,2.6108672703063963e-05,0.0038806217536266354,2.1736838053288204e-05,0.9667206283701457,0.09183599738845058,3.068856568202284e-07,3.0,0.30686640796135933
405,285.0,3.3216660000000004e-07,0.0032717052037845125,2.473372178305685e-05,2.2716269079459795e-05,2.092839183054892e-05,1.9008537131718205e-05,1.9008537131718205e-05,2.2770445695338557e-05,2.851280569757731e-05,0.005002222277700921,2.0850590996507844e-05,1.0554545245071771,0.09183599738845058,3.505867408601657e-07,3.0,0.3107022380608764
410,333.0,3.684276e-07,0.00714539605689557,2.705853237912462e-05,2.4940241135240215e-05,2.281315053096764e-05,2.281315053096764e-05,2.5090723998701135e-05,3.1254814185233985e-05,3.1254814185233985e-05,0.0066032122496475195,2.083654279015599e-05,0.867717787402379,0.09183599738845058,3.196911818899687e-07,3.0,0.31453806816039337
415,380.0,4.4152179999999996e-07,0.008850787081460885,2.7512314538893175e-05,2.559600252704176e-05,1.9621339364060793e-05,1.9621339364060793e-05,2.7509951449505598e-05,2.9432009046091193e-05,2.3558301300736463e-05,0.00704398099115616,1.9621339364060793e-05,0.7687430652441882,0.09183599738845058,3.3941682190413145e-07,3.0,0.31837389825991036
420,286.0,4.679108e-07,0.008642564715988168,2.4021696497904574e-05,2.0831559503136287e-05,1.76695432518526e-05,1.9292975635527544e-05,2.5468054099055802e-05,2.5676775417820793e-05,2.245691786562855e-05,0.007106314314083874,1.9292975635527544e-05,0.888754820206089,0.09183599738845058,4.158579789264873e-07,3.0,0.3222097283594273
425,334.0,4.692612e-07,0.007627521721683228,0.0009213363145669182,1.9243657121547482e-05,1.5403036634577328e-05,1.4067189428613647e-05,1.8090425324368987e-05,1.9243657121547482e-05,1.796281869844052e-05,0.007302884148734178,1.282910474769832e-05,1.105989105491337,0.09183599738845058,5.189977748297915e-07,3.0,0.3260455584589443
430,381.0,5.114762e-07,0.006307595012633777,0.004698080421710238,1.779778915230115e-05,1.4011659013422756e-05,1.3992680526180444e-05,2.0307465122594215e-05,1.9102148123461458e-05,1.9102148123461458e-05,0.008514642067778496,1.2734765415640974e-05,1.0220796953091742,0.09183599738845058,5.227694386538942e-07,3.0,0.32988138855846133
435,287.0,5.972186e-07,0.003298379387590763,0.011042879790038925,2.0982180794075464e-05,1.5355283692791526e-05,1.5355283692791526e-05,1.5394943840619757e-05,2.0982180794075464e-05,2.0982180794075464e-05,0.009763225528269342,1.5355283692791526e-05,0.7968734099329555,0.09183599738845058,4.7590762225738577e-07,3.0,0.3337172186579783
