wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
390,1.049032e-06,0.003885036822242495,0.00026378590085327994,0.0002637893631525906,0.00030745571622008085,0.00029987944991755766,0.0002865328028271829,0.0002637935220930965,0.0002562130968500674,0.021081640772822246,0.00030745571622008085,0.7961683497157319,1.0,8.352060762389936e-07,3.0,0.0
393,2.898892e-07,0.026596324011506835,0.0007830613587107157,0.0007831503008705717,0.000903603547466677,0.0008735451449781923,0.000903603547466677,0.0008433298400694255,0.000753002956222231,0.0812942663070274,0.000903603547466677,0.8310493721634306,1.0,2.409122376569592e-07,3.0,0.0
396,2.979226e-07,0.04804961099455816,0.0007550266102104055,0.0007549241595699292,0.000943598318573008,0.0007550220823472859,0.0008089123859828216,0.0007010589211938948,0.000701038383797513,0.09313238656659886,0.000808907858119702,0.9033048831121044,1.0,2.6911493936945425e-07,3.0,0.0
399,3.009392e-07,0.0746557600685264,0.0006695295984771658,0.0006217384355850698,0.0012672347669092218,0.0009086457168208665,0.0014585880030616172,0.0006694240497320925,0.0006455822368807688,0.10177205071826494,0.0006934548793529607,1.008347860961702,1.0,3.034513985995258e-07,3.0,0.0
402,4.1214719999999995e-07,0.06448909683485352,0.0004269155190216649,0.00044335843508718794,0.001001544356592709,0.0008374273930357005,0.0006895740700749702,0.0005416223170680463,0.00042698604041849756,0.06888962710821851,0.0004926574040879973,1.0721133015810858,1.0,4.4186849532940007e-07,3.0,3.358168351966427
405,4.381778e-07,0.08040215994336512,0.0007846015223236788,0.0003845506503014512,0.001337967013135977,0.0009844230825621796,0.0012149064228558577,0.0012304609121706897,0.0003999266022306238,0.07247959753843403,0.00046146078036174144,1.0765988100637658,1.0,4.717416980763588e-07,3.0,3.383229309816923
408,4.803468e-07,0.09324658494826522,0.0016984424237481955,0.0003907974897880647,0.001307541101451573,0.0012023348933240638,0.001623275232834638,0.0014578500801730736,0.00043587529214145676,0.0758115229521408,0.0004509019897839477,1.0050775584213087,1.0,4.827857889394887e-07,3.0,3.4082902676674185
411,5.29533e-07,0.10209250715527754,0.0030351431006308805,0.0003849365701278153,0.0013620891234821689,0.001539616957524833,0.002576269662609994,0.001732470355859122,0.00038497850030578043,0.07887510324537769,0.00044420139560010023,0.9254745488750389,1.0,4.90069314289446e-07,3.0,3.433351225517914
414,5.699202e-07,0.10644705286832849,0.0052865151423175825,0.00040112523056573865,0.0016474335192997558,0.0021632928812329666,0.0028509672295896652,0.002149080598723272,0.0007019554486392165,0.08233527220138885,0.00042979994528672273,0.888702278223182,1.0,5.064893801454117e-07,3.0,3.45841218336841
417,5.910502e-07,0.10606458744732335,0.009217744741758172,0.00038688702927102526,0.0018542576813424902,0.0020676624324452208,0.0023744830331584145,0.002747894693540489,0.0012138689613976409,0.0856679414924765,0.0003868574351840983,0.9203293447010733,1.0,5.439608432514383e-07,3.0,3.483473141218906
420,5.949312e-07,0.10090327642510219,0.01574796671745465,0.0004719047723142773,0.0019971174382023647,0.0018881766560456391,0.002227072314638274,0.0034861053871722745,0.0017551528828278085,0.08872588098781942,0.00035101432371627717,1.007635271365675,1.0,5.994736611559068e-07,3.0,3.5085340990694016
423,5.96474e-07,0.09084707499579442,0.025926536160913876,0.0005622662974101838,0.0021503394768763078,0.002051102949211048,0.002315783797334033,0.0040802231208454404,0.0022054820246661007,0.09118914297426273,0.0003308344480574968,1.1031522625317642,1.0,6.580016426413716e-07,3.0,3.533595056919897
