time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-02-03 11:47:33.174625,390,1.48495e-06,4,4,4,4,4,4,4,3,4,4
2025-02-03 11:47:37.236389,405,3.1162e-07,422,4,3,4,3,4,4,4,299,3
2025-02-03 11:47:40.730326,420,4.54563e-07,671,5,3,4,3,4,5,4,569,4
2025-02-03 11:47:44.264154,435,6.22241e-07,4,1707,4,4,4,3,4,4,951,4
2025-02-03 11:47:47.789959,450,7.79931e-07,4,2690,442,4,3,4,4,4,1327,3
2025-02-03 11:47:51.334688,465,8.881e-07,4,926,3331,4,3,4,3,4,1859,3
2025-02-03 11:47:54.851538,480,1.02392e-06,4,4,4574,173,4,4,5,4,2284,4
2025-02-03 11:47:58.386385,495,1.08538e-06,4,4,3005,2667,4,4,5,4,3165,5
2025-02-03 11:48:01.909173,510,1.31529e-06,4,4,432,7741,183,4,5,5,3605,4
2025-02-03 11:48:05.447936,525,1.40053e-06,5,4,4,8688,2302,4,32,5,4312,4
2025-02-03 11:48:08.985788,540,1.43176e-06,4,5,4,4358,9447,142,58,5,5196,5
2025-02-03 11:48:12.552410,555,1.56668e-06,4,5,4,889,12879,1653,5,5,5644,92
2025-02-03 11:48:16.076530,570,1.66034e-06,33,5,40,60,8327,7255,333,129,6070,277
2025-02-03 11:48:19.591570,585,1.70812e-06,6,5,208,5,2120,15717,1723,103,6485,401
2025-02-03 11:48:23.108064,600,1.74424e-06,4,5,40,4,322,13842,6001,4,6858,448
2025-02-03 11:48:26.636864,615,1.70017e-06,35,5,49,43,4,6497,15489,259,7300,421
2025-02-03 11:48:30.162501,630,1.66925e-06,84,73,93,117,23,1360,18321,1477,7577,670
2025-02-03 11:48:33.700481,645,1.70464e-06,102,172,135,40,164,214,14621,6088,7806,421
2025-02-03 11:48:37.228294,660,1.79055e-06,148,127,82,94,326,154,7062,17414,8444,439
2025-02-03 11:48:40.751117,675,1.73151e-06,254,152,84,164,470,182,2644,25660,8906,683
2025-02-03 11:48:44.281636,690,1.62309e-06,213,195,133,109,494,162,1036,22922,9051,692
2025-02-03 11:48:48.356699,705,1.52179e-06,82,207,209,69,330,233,461,12476,8320,556
2025-02-03 11:48:51.893417,720,1.50303e-06,98,154,172,78,271,431,265,3578,7595,706
2025-02-03 11:48:55.415275,735,1.42034e-06,144,167,135,47,300,187,39,826,6916,683
2025-02-03 11:48:59.003133,750,1.26435e-06,138,204,163,66,156,178,83,134,6396,622
2025-02-03 11:49:02.530855,765,1.09632e-06,140,215,134,154,5,291,157,70,5918,747
2025-02-03 11:49:06.066653,780,9.7009e-07,204,241,117,261,4,236,140,117,5305,803
2025-02-03 11:49:09.607393,795,8.57694e-07,53,157,122,96,4,6,67,155,4615,427
2025-02-03 11:49:13.138364,810,7.69866e-07,4,24,37,103,5,6,89,19,3966,584
2025-02-03 11:49:16.656190,825,6.88409e-07,5,52,27,137,7,4,152,57,3405,996
2025-02-03 11:49:20.188013,840,6.47566e-07,4,65,33,4,4,6,38,5,2952,1730
2025-02-03 11:49:23.683992,855,6.48569e-07,4,19,4,4,4,4,4,4,2558,2925
2025-02-03 11:49:27.273375,870,6.40435e-07,4,5,4,4,5,4,4,4,2214,4658
2025-02-03 11:49:30.808348,885,6.299e-07,4,5,4,4,4,4,4,4,1926,7099
2025-02-03 11:49:34.331225,900,6.22631e-07,4,5,4,4,3,5,4,4,1685,9006
2025-02-03 11:49:37.862048,915,5.85728e-07,4,5,4,4,4,4,5,4,1473,10287
2025-02-03 11:49:41.368418,930,5.53192e-07,4,4,4,4,4,4,5,4,1273,9654
2025-02-03 11:49:44.886662,945,5.12608e-07,4,5,4,4,4,4,4,4,1093,8307
2025-02-03 11:49:48.422302,960,4.97957e-07,5,5,4,4,4,4,4,4,885,6822
2025-02-03 11:49:51.946606,975,4.85453e-07,4,4,4,4,4,4,5,4,667,5338
2025-02-03 11:49:55.486100,990,4.64379e-07,4,5,4,4,3,4,4,4,459,3929
2025-02-03 11:49:59.081744,1005,4.57646e-07,4,4,4,4,4,4,5,4,271,2624
2025-02-03 11:50:02.623712,1020,4.5265e-07,4,4,4,4,3,4,5,4,119,1683
2025-02-03 11:50:06.168515,1035,4.35401e-07,4,5,4,4,4,4,5,4,5,1193
2025-02-03 11:50:09.696299,1050,4.37455e-07,4,4,4,4,3,4,5,4,4,697
2025-02-03 11:50:13.234127,1065,4.18528e-07,4,4,4,4,4,4,4,4,4,373
2025-02-03 11:50:16.777955,1080,4.33676e-07,4,4,4,4,4,4,4,4,4,151
2025-02-03 11:50:20.322510,1095,3.79799e-07,4,4,4,4,3,4,4,4,4,4
2025-02-03 11:50:25.924439,395,9.19157e-07,4,4,4,4,3,4,4,4,87,3
2025-02-03 11:50:29.973738,410,3.88708e-07,620,4,4,4,3,4,3,3,391,3
2025-02-03 11:50:33.506067,425,4.91068e-07,573,348,3,3,3,4,3,4,753,3
2025-02-03 11:50:37.040272,440,6.90079e-07,4,2179,4,4,4,4,4,4,982,3
2025-02-03 11:50:40.562682,455,7.88712e-07,4,2575,1139,4,4,4,4,4,1581,4
2025-02-03 11:50:44.080413,470,9.91496e-07,5,236,4106,4,3,4,4,4,1944,3
2025-02-03 11:50:47.589260,485,1.04264e-06,4,4,4573,597,5,4,5,4,2609,4
2025-02-03 11:50:51.114128,500,1.17243e-06,4,4,1706,4468,4,4,5,4,3340,4
2025-02-03 11:50:54.645155,515,1.36142e-06,4,4,123,8585,546,4,4,4,3792,4
2025-02-03 11:50:58.164588,530,1.42724e-06,4,5,4,8059,4058,4,50,5,4649,4
2025-02-03 11:51:01.679560,545,1.49659e-06,4,5,4,2337,12407,425,54,5,5395,47
2025-02-03 11:51:05.242204,560,1.62614e-06,5,5,5,448,12122,2874,28,47,5811,109
2025-02-03 11:51:08.758013,575,1.68037e-06,19,5,81,32,5660,10588,626,154,6239,370
2025-02-03 11:51:12.282007,590,1.71323e-06,6,4,248,5,1460,15902,2699,21,6627,336
2025-02-03 11:51:15.809414,605,1.74336e-06,6,5,12,5,49,11839,8578,23,7016,564
2025-02-03 11:51:19.338321,620,1.6785e-06,55,8,74,66,5,3981,17806,487,7440,492
2025-02-03 11:51:22.812035,635,1.66191e-06,95,98,100,162,69,861,17333,2397,7532,602
2025-02-03 11:51:26.340310,650,1.74941e-06,119,195,149,59,205,121,12252,9135,8057,378
2025-02-03 11:51:29.857807,665,1.79781e-06,175,112,59,118,378,177,5128,21796,8629,494
2025-02-03 11:51:33.443881,680,1.69986e-06,272,167,96,158,536,172,1955,25522,9030,795
2025-02-03 11:51:36.967595,695,1.58395e-06,185,216,165,116,465,166,804,20352,8984,600
2025-02-03 11:51:41.036464,710,1.52651e-06,92,205,240,82,269,300,376,8993,8120,604
2025-02-03 11:51:44.560821,725,1.49209e-06,108,160,159,89,265,423,146,2398,7357,783
2025-02-03 11:51:48.082104,740,1.36606e-06,176,190,152,48,248,151,40,337,6750,647
2025-02-03 11:51:51.613915,755,1.20034e-06,109,194,155,93,46,227,108,94,6267,660
2025-02-03 11:51:55.141692,770,1.05688e-06,148,215,103,180,4,337,166,77,5737,797
2025-02-03 11:51:58.624503,785,9.15908e-07,173,244,111,200,4,26,72,139,5105,573
2025-02-03 11:52:02.133226,800,8.27029e-07,24,135,122,110,4,4,72,59,4403,429
2025-02-03 11:52:05.640189,815,7.36703e-07,4,29,29,127,4,6,120,37,3785,697
2025-02-03 11:52:09.176864,830,6.83734e-07,4,57,24,16,4,4,95,41,3248,1206
2025-02-03 11:52:12.700774,845,6.43333e-07,4,73,43,5,4,6,17,5,2828,2081
2025-02-03 11:52:16.236436,860,6.46479e-07,4,5,4,5,4,6,5,4,2439,3443
2025-02-03 11:52:19.759171,875,6.37569e-07,4,5,4,4,4,4,5,4,2118,5404
2025-02-03 11:52:23.280118,890,6.38265e-07,4,5,4,4,4,4,4,4,1849,8173
2025-02-03 11:52:26.808883,905,6.16073e-07,4,5,4,4,4,4,4,4,1621,9848
2025-02-03 11:52:30.375853,920,5.61459e-07,4,3,3,3,3,4,4,4,1411,10418
2025-02-03 11:52:33.908326,935,5.42273e-07,4,5,4,4,3,4,4,4,1214,9276
2025-02-03 11:52:37.519509,950,4.96781e-07,4,5,4,4,3,4,5,4,1026,7924
2025-02-03 11:52:41.036278,965,4.89016e-07,4,4,4,4,3,5,4,4,814,6320
2025-02-03 11:52:44.580028,980,4.67283e-07,4,4,4,4,3,5,5,4,594,4763
2025-02-03 11:52:48.114922,995,4.65947e-07,4,4,4,4,3,4,5,4,395,3428
2025-02-03 11:52:51.656721,1010,4.54631e-07,4,4,4,4,4,4,4,4,217,2394
2025-02-03 11:52:55.191510,1025,4.60633e-07,5,3,4,3,3,4,5,4,73,1451
2025-02-03 11:52:58.719120,1040,4.30685e-07,4,4,4,4,3,4,4,4,5,1039
2025-02-03 11:53:02.239989,1055,4.49277e-07,4,4,4,3,4,4,4,4,4,594
2025-02-03 11:53:05.767045,1070,4.31324e-07,4,4,4,4,3,3,4,3,4,276
2025-02-03 11:53:09.366470,1085,3.63206e-07,4,4,3,3,3,4,4,4,4,105
2025-02-03 11:53:14.912474,400,3.06075e-07,124,4,3,3,4,4,3,3,160,3
2025-02-03 11:53:18.436296,415,4.25092e-07,668,5,3,4,4,4,5,4,450,4
2025-02-03 11:53:21.958056,430,5.23645e-07,253,1006,4,4,3,4,5,4,906,3
2025-02-03 11:53:25.487767,445,7.71884e-07,4,2485,60,3,4,5,4,4,1102,4
2025-02-03 11:53:28.998472,460,8.34451e-07,4,1921,2173,3,3,5,4,4,1764,3
2025-02-03 11:53:32.523387,475,1.02054e-06,4,4,4413,4,3,4,4,4,2063,5
2025-02-03 11:53:36.033360,490,1.04235e-06,4,4,4090,1404,4,4,4,4,2936,5
2025-02-03 11:53:39.634171,505,1.26565e-06,5,4,830,6346,4,4,5,4,3478,5
2025-02-03 11:53:43.171939,520,1.41776e-06,4,4,5,8835,1201,4,6,4,4031,4
2025-02-03 11:53:46.667645,535,1.4373e-06,4,4,4,6606,6493,4,59,4,4963,4
2025-02-03 11:53:50.267453,550,1.53628e-06,4,5,4,1476,13316,885,5,4,5540,93
2025-02-03 11:53:53.785220,565,1.63879e-06,12,5,5,202,10623,4693,147,96,5962,174
2025-02-03 11:53:57.298186,580,1.69665e-06,6,5,133,27,3498,14108,1066,143,6385,467
2025-02-03 11:54:00.827839,595,1.71551e-06,6,5,217,4,842,15212,4104,4,6756,386
2025-02-03 11:54:04.354225,610,1.73498e-06,6,5,25,5,4,9118,11941,106,7169,411
2025-02-03 11:54:07.863108,625,1.66625e-06,71,42,85,82,4,2553,18612,875,7566,592
2025-02-03 11:54:11.404548,640,1.68103e-06,100,138,120,102,119,361,16119,3867,7598,505
2025-02-03 11:54:14.916302,655,1.80204e-06,125,143,104,71,269,118,9633,13027,8296,401
2025-02-03 11:54:18.424732,670,1.76626e-06,216,133,73,140,411,221,3493,24393,8800,582
2025-02-03 11:54:21.968719,685,1.65359e-06,268,187,114,148,517,153,1507,24644,9090,841
2025-02-03 11:54:26.040708,700,1.53388e-06,118,215,181,83,362,169,594,16457,8532,552
2025-02-03 11:54:29.563781,715,1.53717e-06,96,189,238,87,252,365,283,5731,7897,651
2025-02-03 11:54:33.078328,730,1.45865e-06,127,167,147,78,278,311,88,1347,7143,750
2025-02-03 11:54:36.625977,745,1.33746e-06,197,220,175,61,195,147,67,226,6593,620
2025-02-03 11:54:40.148949,760,1.14529e-06,123,205,148,126,4,273,141,92,6124,707
2025-02-03 11:54:43.884756,775,9.99922e-07,174,218,104,220,4,372,185,103,5539,854
2025-02-03 11:54:47.393520,790,8.81496e-07,85,189,106,107,4,4,62,176,4887,458
2025-02-03 11:54:50.915585,805,8.00515e-07,4,73,74,101,5,4,74,29,4191,492
2025-02-03 11:54:54.438198,820,7.11353e-07,4,41,31,159,4,6,151,52,3604,831
2025-02-03 11:54:57.969001,835,6.59491e-07,4,61,29,5,5,4,56,16,3108,1451
2025-02-03 11:55:01.468160,850,6.47813e-07,4,70,17,5,4,4,5,5,2705,2482
2025-02-03 11:55:04.969628,865,6.40186e-07,5,5,4,4,5,4,5,4,2333,4025
2025-02-03 11:55:08.490418,880,6.34805e-07,5,5,4,4,4,4,5,4,2030,6226
2025-02-03 11:55:12.020268,895,6.21317e-07,4,5,4,4,4,4,5,4,1770,8699
2025-02-03 11:55:15.547744,910,6.04404e-07,5,5,4,4,4,4,4,4,1557,10369
2025-02-03 11:55:19.067886,925,5.52652e-07,4,5,4,4,3,4,5,4,1348,10228
2025-02-03 11:55:22.594369,940,5.17684e-07,4,4,4,4,3,4,4,4,1160,8877
2025-02-03 11:55:26.133511,955,5.01168e-07,5,5,4,4,4,6,5,4,963,7481
2025-02-03 11:55:29.638176,970,4.7329e-07,4,4,4,4,4,4,4,4,743,5910
2025-02-03 11:55:33.164140,985,4.73161e-07,4,4,4,4,4,4,5,4,531,4348
2025-02-03 11:55:36.666967,1000,4.76569e-07,4,5,4,4,5,4,4,4,333,2953
2025-02-03 11:55:40.219778,1015,4.58525e-07,4,5,4,4,3,4,5,4,167,2067
2025-02-03 11:55:43.844496,1030,4.62525e-07,4,4,4,4,4,4,4,4,38,1325
2025-02-03 11:55:47.354429,1045,4.25223e-07,4,4,4,4,4,5,4,4,4,849
2025-02-03 11:55:50.900048,1060,4.4259e-07,4,4,4,4,4,4,4,4,4,496
2025-02-03 11:55:54.433031,1075,3.94122e-07,4,4,4,4,3,4,5,4,4,207
2025-02-03 11:55:57.962795,1090,4.37142e-07,4,5,4,4,4,4,4,4,4,55
