time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
2025-03-06 10:18:11.796129,745,1.22356e-06,0.02442338849644153,0.028933630971394148,0.023714230874593633,0.01843809816804529,0.025359476557280755,0.020934332996949884,0.016963050314601668,0.028678334227528905,0.46333522381054115,0.07049026761168083,1.04533840092799,1.0,1.2790342538394514e-06,3,0.0
2025-03-06 10:29:10.624951,745,1.22499e-06,0.024479877269757776,0.028956521492699592,0.023714881105077846,0.018558240291309425,0.025414872582144355,0.020881561976633656,0.01697158157938068,0.028673189579855173,0.4635876757960379,0.07052131310697582,1.04533840092799,1.0,1.2805290877527785e-06,4,0.0
2025-03-06 09:56:15.494780,745,1.25298e-06,0.02393302754767081,0.028309669159397654,0.022991218593248583,0.018115972240945268,0.024791735711996967,0.020525895153731565,0.016453956439023684,0.028032666525744054,0.4523453007563245,0.06894595551638039,1.04533840092799,1.0,1.309788109594753e-06,1,0.0
2025-03-06 10:41:44.221496,750,1.16823e-06,0.02323162769826515,0.02890211216758018,0.02433100734027521,0.01999135085865656,0.024562455685961535,0.021293247803142155,0.017879384704268822,0.02271086892047091,0.4631281397183418,0.06879802075526092,1.0734763803853284,1.0,1.2540673118575523e-06,5,0.0
2025-03-06 09:57:51.143231,750,1.16467e-06,0.02324459993021544,0.028990456092740605,0.02431832052624287,0.01993637971542822,0.024608515281925956,0.021300295067138743,0.017817957998941675,0.022838327272259117,0.46257044055884405,0.06851498181677734,1.0734763803853284,1.0,1.2502457359433805e-06,1,0.0
2025-03-06 10:30:46.461180,750,1.1668e-06,0.023173200281208322,0.02890856735080738,0.024447726296674778,0.019899985741487644,0.024447726296674778,0.021290377758360145,0.017872330716881914,0.022738702775935662,0.46268191011467563,0.06856370633202512,1.0734763803853284,1.0,1.2525322406336013e-06,4,0.0
2025-03-06 10:08:48.836549,750,1.16396e-06,0.023287816001696066,0.029037177059471408,0.024420265907015456,0.019919503462797385,0.02459448896937228,0.021371362315770956,0.017857863891574916,0.022852258345804,0.4628816395050337,0.06849870068329306,1.0734763803853284,1.0,1.2494835677133068e-06,2,0.0
2025-03-06 10:19:47.550888,750,1.16538e-06,0.02320143651694201,0.029001795646177508,0.024419511934081463,0.019953235404570127,0.024593522707958525,0.02131631979994047,0.01789410791369152,0.022650402399664635,0.46266564594346976,0.06861824849885598,1.0734763803853284,1.0,1.251007904173454e-06,3,0.0
2025-03-06 09:59:27.169815,755,1.10697e-06,0.021373900428672377,0.027192351100922083,0.02478778730269644,0.022591025314194,0.01908808052171714,0.02428312576479723,0.018702162875088333,0.018642790929453132,0.4626262003894866,0.07124633476224126,1.1040730399326328,1.0,1.2221757330142264e-06,1,0.0
2025-03-06 10:10:24.785395,755,1.10768e-06,0.021182198531659018,0.027204588310267955,0.02468289800887998,0.02257654493360296,0.01889784378804873,0.02432689467221344,0.018749509064437675,0.018541840451382192,0.4629526723901106,0.07123033427802983,1.1040730399326328,1.0,1.2229596248725789e-06,2,0.0
2025-03-06 10:32:21.846370,755,1.11098e-06,0.021208016448124867,0.027153359971239365,0.024580002326906224,0.022479905858542395,0.018960025862270625,0.024432108209415816,0.018782552921282135,0.018545922333297476,0.4633522700974561,0.07113707051288745,1.1040730399326328,1.0,1.2266030659043564e-06,4,0.0
2025-03-06 10:21:23.373180,755,1.10815e-06,0.021262177605502655,0.027252358744012467,0.024820701054122346,0.022596623898735037,0.018978791725971684,0.02434623126097305,0.01871190246732521,0.018445013208678734,0.4630232093895654,0.07093323407581917,1.1040730399326328,1.0,1.223478539201347e-06,3,0.0
2025-03-06 10:43:20.045264,755,1.11239e-06,0.02132884107209455,0.027207565965926703,0.024785176813694357,0.022569576979335506,0.01881782792648785,0.024371598177947373,0.018670121270863926,0.018551955946364787,0.4639170639836188,0.07113552534848154,1.1040730399326328,1.0,1.2281598088906615e-06,5,0.0
2025-03-06 10:40:12.068211,760,1.05679e-06,0.0225282670446923,0.02820587612468888,0.026110929458807785,0.025959121729396115,0.01572728076704934,0.02841840694586522,0.02088874356704623,0.01891524308469448,0.46671768330324803,0.07563061079289558,1.1307650232465627,1.0,1.194981168916735e-06,5,0.0
2025-03-06 10:29:14.140280,760,1.05421e-06,0.022492093601788443,0.028153161815499744,0.02614439567515057,0.02596178057148247,0.01582664231790256,0.02821403351672245,0.020848557668775487,0.018778919827203613,0.4663685389177325,0.07569396047043013,1.1307650232465627,1.0,1.192063795156759e-06,4,0.0
2025-03-06 10:18:15.289981,760,1.05304e-06,0.022425674866787985,0.028123502584300693,0.02605156523247789,0.025929686564723605,0.015722348140302447,0.028184441918177833,0.020963130853736595,0.018799784501098076,0.46618590416013067,0.07559524367459373,1.1307650232465627,1.0,1.1907408000795604e-06,3,0.0
2025-03-06 09:56:18.965480,760,1.0521e-06,0.022445711112748234,0.028026642000836453,0.02598335036421399,0.025891859693917465,0.01573639529100284,0.02820962334142951,0.02101235727810263,0.01890807186128248,0.4660534744905143,0.07560179055503108,1.1307650232465627,1.0,1.1896778809577086e-06,1,0.0
2025-03-06 10:07:16.806097,760,1.0507e-06,0.02241454373805695,0.028125061011921595,0.026109584327028194,0.025956896699384755,0.01572682564727429,0.028308286165093725,0.02094874251267993,0.01887219077672915,0.46624693977200754,0.07558037568350266,1.1307650232465627,1.0,1.1880948099251633e-06,2,0.0
2025-03-06 10:08:52.464523,765,9.96381e-07,0.02500531739334536,0.029968684413632502,0.027141450034987927,0.02943465125322186,0.015298479359998982,0.031068164449772062,0.024031492218478893,0.018219954884598374,0.46913242456308996,0.08013638777691458,1.1591514976845334,1.0,1.154956528414413e-06,2,0.0
2025-03-06 09:57:54.821664,765,9.96802e-07,0.025057557276032663,0.029861825776324638,0.027098586377463894,0.029265217269752435,0.015260617589162749,0.030992241894040398,0.023958541606031232,0.018180859226595125,0.46808647407746734,0.08007114167153294,1.1591514976845334,1.0,1.1554445311949383e-06,1,0.0
2025-03-06 10:19:51.184437,765,9.98393e-07,0.025048976942893677,0.029908290367359907,0.0272121551770109,0.029343983001938023,0.015267649275581002,0.031036905098203678,0.02407711425800043,0.01818323733026074,0.46884536943801614,0.08010029548071758,1.1591514976845334,1.0,1.1572887412277545e-06,3,0.0
