wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
390,8.606698e-06,0.0016419686817059087,0.00017104072632185714,0.00017900517931038445,0.00017129228043701988,0.0001790188427215357,0.00018673102112676376,0.00018673102112676376,0.0001864931304227523,0.014448943753706613,0.00018673102112676376,0.7961683497157319,1.0,6.85238054316169e-06,3.0,0.0
393,2.848484e-07,0.021028024696410758,0.0008582981090554789,0.0009195928723703306,0.0007969734306512326,0.0009195928723703306,0.0009195928723703306,0.0008582844445028058,0.0008889441460647695,0.0881276367075829,0.0008889386584365683,0.8310493721634306,1.0,2.367230839817577e-07,3.0,0.0
396,2.926122e-07,0.040602846808779666,0.0008235871187354324,0.0008235871187354324,0.0008235871187354324,0.0008235871187354324,0.0008235871187354324,0.0007961266972364272,0.0007961266972364272,0.097155817231874,0.0008235871187354324,0.9033048831121044,1.0,2.6431802911817573e-07,3.0,0.0
399,2.956214e-07,0.06691812854961939,0.0007302813789748324,0.0007059295881564171,0.0006329196066307757,0.0007303288344046446,0.0007546269909339263,0.0006815757328377942,0.0007059357670157384,0.1036754864471698,0.0006572796408087201,1.008347860961702,1.0,2.9808920634450373e-07,3.0,0.0
402,4.04033e-07,0.06030593249709989,0.0005025496695887609,0.00048580846804041134,0.0004355390966746842,0.0005192630175857026,0.0005025496695887609,0.0005025496695887609,0.0005025496695887609,0.06951922381402752,0.00048580846804041134,1.0721133015810858,1.0,4.3316915357771083e-07,3.0,3.358168351966427
405,4.309264e-07,0.07775470938098407,0.0004224264839000994,0.0004535505832129596,0.0004378468272645563,0.0005788530909274895,0.0005474441857558606,0.00046954758796591956,0.0004535463401031911,0.07245173712374689,0.00046925005277784535,1.0765988100637658,1.0,4.6393484946506234e-07,3.0,3.383229309816923
408,4.7127419999999995e-07,0.09357094938588112,0.00044426964313842984,0.00044426964313842984,0.0004136149557700731,0.0008118964233287072,0.001317461663670453,0.0007047476504143651,0.0004136149557700731,0.076014880697248,0.0004595820943336359,1.0050775584213087,1.0,4.736671222829555e-07,3.0,3.4082902676674185
411,5.199978e-07,0.10461242882784971,0.00081424170929157,0.0004372805156495272,0.0005277267500114983,0.001085671927009077,0.002080776793726629,0.0009047304860772598,0.0004222023404842453,0.07884382925285147,0.00045235871919223954,0.9254745488750389,1.0,4.812447293710128e-07,3.0,3.433351225517914
414,5.603372e-07,0.1111381064603012,0.0022585759410793495,0.0004371500781356844,0.0007431697892343965,0.001661201946780904,0.0027977531711046166,0.0013697299951538852,0.00042256375195276344,0.08222792928215703,0.0004080140675412733,0.888702278223182,1.0,4.979729462131989e-07,3.0,3.45841218336841
417,5.801932000000001e-07,0.11288685718046658,0.004579621147467847,0.0004076810128077317,0.0008969192656667803,0.0016035306081194334,0.0022694004875888707,0.001970479641910793,0.0006658716503613168,0.08580328047943778,0.0004076810128077317,0.9203293447010733,1.0,5.339688275560187e-07,3.0,3.483473141218906
420,5.843808e-07,0.10953899076967308,0.009032751469717704,0.000369689342815183,0.001072079157208078,0.0013432134332959553,0.0017745108127545928,0.0030191151680789606,0.0012322901968940387,0.08884868198131787,0.0003450397274495809,1.007635271365675,1.0,5.888427059888904e-07,3.0,3.5085340990694016
423,5.862638e-07,0.10110190403311925,0.01676244735658719,0.0003365950279228683,0.0012117605008576077,0.0014024649684203382,0.001851284946802979,0.003702551453765153,0.001548348023544445,0.09131823448509015,0.0003253765572193925,1.1031522625317642,1.0,6.467382374104697e-07,3.0,3.533595056919897
426,6.043531999999999e-07,0.08740731886973327,0.029262309583614914,0.0003163493531014226,0.001571191342437476,0.0019403423592399005,0.0022460668924012797,0.0038805686630134797,0.0017188443893145905,0.09368151046066082,0.0003163493531014226,1.138619329346705,1.0,6.88128235272535e-07,3.0,3.558656014770393
429,6.500764000000001e-07,0.06827520427623862,0.04812087298646881,0.0003190980329608172,0.0019351009655411422,0.0021616299920954388,0.0030056996118266455,0.0036129134549451386,0.0019351224918500234,0.09596407150726982,0.00028820458993442604,1.0844206876397038,1.0,7.049562967063431e-07,3.0,3.5837169726208886
432,7.183190000000001e-07,0.04655665716028717,0.07518368032773695,0.0005292047302127961,0.0023760932984879675,0.0016808824197312177,0.0036834546545798977,0.003434429510808147,0.0022723263513442066,0.09852950643295252,0.0003112768051754682,0.9735811656930607,1.0,6.993418493594737e-07,3.0,3.6087779304713843
435,7.925314e-07,0.027922190612425447,0.10792227742359187,0.0009363695579059277,0.002356676045788699,0.0011783310045380747,0.0034613142734803647,0.0033666495945999784,0.0025460348834845073,0.10099964390726553,0.0003156238659535564,0.8702618572850851,1.0,6.897098481207487e-07,3.0,3.63383888832188
438,8.569461999999999e-07,0.0149111173914339,0.14055721676534289,0.0018914891518827608,0.001418627924995575,0.0012819907567529205,0.0032365405986787337,0.002763683126169353,0.002616535217901789,0.10377870403628935,0.00030473157213482946,0.8058128852904037,1.0,6.905382899606474e-07,3.0,3.6588998461723756
441,8.993576e-07,0.008014795510682914,0.16801502061318443,0.00356893874989967,0.0004589219782692366,0.001662165207001286,0.0033344286188615414,0.0025186630978551493,0.002406516009617037,0.10744520220502549,0.0003058956135192807,0.7912476169635306,1.0,7.116145577980402e-07,3.0,3.6839608040228717
444,9.18468e-07,0.005166016481305694,0.18642577945288585,0.006507802905215451,0.0002970998451455943,0.0020415038492051563,0.002683630366308845,0.0026932346114063688,0.0025398465397535935,0.11026836598659864,0.00028753160035747445,0.8243026888073762,1.0,7.570956419835332e-07,3.0,3.709021761873367
