time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-03-06 09:49:53.019221,390,3.83118e-05,90,6,6,5,5,5,6,5,322,5
2025-03-06 09:49:57.086639,405,4.43078e-07,1501,30,5,29,27,33,36,6,1208,6
2025-03-06 09:50:00.627381,420,5.99258e-07,2098,602,17,54,47,66,94,53,1937,5
2025-03-06 09:50:04.130327,435,8.06771e-07,431,3728,125,65,58,111,138,100,2620,20
2025-03-06 09:50:07.629127,450,9.35683e-07,77,6273,1273,58,120,90,153,189,3792,96
2025-03-06 09:50:11.173015,465,1.13587e-06,112,2812,6380,256,240,109,221,285,4729,184
2025-03-06 09:50:14.704616,480,1.23391e-06,203,264,11008,1751,287,149,217,182,6081,305
2025-03-06 09:50:18.218564,495,1.3236e-06,313,73,9067,8744,353,191,350,283,7920,541
2025-03-06 09:50:21.757458,510,1.54708e-06,269,123,2193,18081,1289,186,356,399,9055,534
2025-03-06 09:50:25.305555,525,1.60118e-06,395,236,460,17825,6378,252,547,486,11072,631
2025-03-06 09:50:28.837398,540,1.6387e-06,405,325,261,6567,21057,859,682,412,12831,741
2025-03-06 09:50:32.380598,555,1.76398e-06,468,449,330,1661,27614,3459,558,571,13819,1213
2025-03-06 09:50:35.912496,570,1.80242e-06,619,355,503,591,18687,13511,1238,848,15056,1335
2025-03-06 09:50:39.434721,585,1.81772e-06,565,397,794,439,5546,32301,3831,814,16095,2338
2025-03-06 09:50:43.049832,600,1.83041e-06,567,453,903,463,1114,31405,10924,490,16888,2001
2025-03-06 09:50:46.582003,615,1.77436e-06,712,517,669,725,439,17253,27563,1169,17971,1684
2025-03-06 09:50:50.097457,630,1.71688e-06,744,741,781,901,656,4505,38497,3948,18495,2185
2025-03-06 09:50:53.628911,645,1.75117e-06,757,994,922,641,881,1384,32961,13720,18976,1682
2025-03-06 09:50:57.161530,660,1.78098e-06,860,956,857,762,1146,871,19748,36584,20747,1697
2025-03-06 09:51:00.668985,675,1.6712e-06,1068,983,732,868,1602,999,7659,57784,22161,2583
2025-03-06 09:51:04.185989,690,1.54943e-06,1061,1076,801,817,1731,840,3758,52334,22289,3128
2025-03-06 09:51:08.567831,393,2.92047e-07,239,6,6,5,5,5,5,5,513,5
2025-03-06 09:51:12.638063,408,4.82399e-07,1748,54,5,32,28,48,44,8,1316,6
2025-03-06 09:51:16.155233,423,5.99766e-07,2010,1012,26,66,60,76,120,65,2189,6
2025-03-06 09:51:19.688636,438,8.70592e-07,235,4379,195,41,63,102,122,96,2685,27
2025-03-06 09:51:23.242029,453,9.4314e-07,74,6174,1932,78,139,98,161,229,4103,118
2025-03-06 09:51:26.793355,468,1.18748e-06,125,1769,7828,362,253,120,203,277,4851,198
2025-03-06 09:51:30.392137,483,1.22612e-06,238,149,11361,2554,298,168,245,200,6537,349
2025-03-06 09:51:33.924699,498,1.37224e-06,235,75,7487,11059,429,192,387,310,8115,580
2025-03-06 09:51:37.530887,513,1.58358e-06,300,140,1668,18739,1768,196,392,403,9333,530
2025-03-06 09:51:41.011978,528,1.58134e-06,396,260,415,16540,8495,293,568,442,11534,652
2025-03-06 09:51:44.545209,543,1.66718e-06,412,355,277,4659,24401,1126,679,454,13009,791
2025-03-06 09:51:48.053351,558,1.77465e-06,489,459,351,1262,26661,4627,591,661,14055,1095
2025-03-06 09:51:51.569233,573,1.80236e-06,622,346,546,593,15449,16942,1546,859,15272,1520
2025-03-06 09:51:55.074014,588,1.82141e-06,565,432,865,409,4406,33941,4765,775,16226,2097
2025-03-06 09:51:58.573663,603,1.82243e-06,569,425,823,498,774,29311,13284,551,17095,2091
2025-03-06 09:52:02.081602,618,1.75755e-06,738,559,698,754,461,13783,32036,1476,18176,1718
2025-03-06 09:52:05.571189,633,1.70649e-06,750,778,785,908,707,3632,37640,5064,18386,2334
2025-03-06 09:52:09.063567,648,1.76838e-06,783,1058,968,661,902,1100,31213,17221,19312,1602
2025-03-06 09:52:12.584849,663,1.76604e-06,883,888,803,779,1228,878,16229,42426,21031,1798
2025-03-06 09:52:16.096055,678,1.64067e-06,1096,1006,731,867,1713,955,6704,58362,22284,2789
2025-03-06 09:52:19.600195,693,1.53546e-06,1033,1082,824,828,1652,852,3097,49046,22103,2983
2025-03-06 09:52:24.014697,396,2.99798e-07,505,6,6,16,5,17,10,5,743,5
2025-03-06 09:52:28.074437,411,5.3187e-07,1883,95,6,30,35,64,51,15,1400,5
2025-03-06 09:52:31.539310,426,6.16009e-07,1716,1580,39,75,75,86,134,80,2392,5
