time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-03-11 11:08:09.879513,390,4.35042e-07,69,5,6,6,6,6,6,6,461,6
2025-03-11 11:08:15.297340,405,4.36294e-07,956,6,6,6,5,10,6,6,899,6
2025-03-11 11:08:19.205684,420,5.93164e-07,1490,221,5,21,16,24,48,19,1366,5
2025-03-11 11:08:23.085035,435,8.05748e-07,333,2221,28,34,18,50,42,39,1775,6
2025-03-11 11:08:27.090347,450,9.31438e-07,41,3966,578,11,34,37,54,92,2546,19
2025-03-11 11:08:30.978768,465,1.13681e-06,32,1577,3859,73,95,50,76,164,3059,63
2025-03-11 11:08:34.858881,480,1.22952e-06,87,101,6447,526,138,62,100,76,3858,130
2025-03-11 11:08:38.738418,495,1.3247e-06,168,15,4939,3774,107,75,183,123,4858,264
2025-03-11 11:08:42.611031,510,1.54825e-06,110,29,1093,9643,361,78,147,170,5452,258
2025-03-11 11:08:46.491041,525,1.58778e-06,177,62,210,10372,2344,81,246,232,6564,308
2025-03-11 11:08:50.372961,540,1.6401e-06,176,133,92,4141,10156,315,285,182,7398,311
2025-03-11 11:08:54.252963,555,1.76784e-06,212,210,122,1000,14551,1703,168,165,7836,397
2025-03-11 11:08:58.153390,570,1.80459e-06,282,141,221,288,10004,7756,494,295,8426,588
2025-03-11 11:09:02.053395,585,1.82122e-06,244,178,383,181,2859,16832,1859,314,8808,896
2025-03-11 11:09:05.940408,600,1.83493e-06,232,127,361,185,562,13872,6226,158,9069,761
2025-03-11 11:09:09.820554,615,1.78016e-06,244,161,258,263,150,5744,15865,345,9520,739
2025-03-11 11:09:13.696282,630,1.72393e-06,275,271,303,319,215,1522,17268,1147,9612,981
2025-03-11 11:09:17.565122,645,1.76126e-06,307,380,365,243,320,386,12893,5046,9761,695
2025-03-11 11:09:21.452954,660,1.79072e-06,317,296,281,284,469,339,5867,16912,10465,733
2025-03-11 11:09:25.343164,675,1.67881e-06,420,337,252,349,625,352,2308,25412,10973,963
2025-03-11 11:09:29.231122,690,1.55922e-06,444,387,283,309,677,328,1124,22788,10904,1201
2025-03-11 11:09:33.997650,393,2.89677e-07,163,5,6,6,6,6,5,5,566,5
2025-03-11 11:09:39.434047,408,4.79576e-07,1130,6,5,6,10,19,7,6,948,5
2025-03-11 11:09:43.324248,423,5.95526e-07,1463,427,6,23,23,32,57,23,1534,6
2025-03-11 11:09:47.213821,438,8.70727e-07,173,2665,52,12,23,51,39,37,1820,6
2025-03-11 11:09:51.101164,453,9.40903e-07,31,3964,940,22,43,36,60,118,2738,28
2025-03-11 11:09:54.976931,468,1.18814e-06,39,938,4763,106,106,51,63,180,3133,74
2025-03-11 11:09:58.834706,483,1.22353e-06,104,41,6666,813,136,57,111,76,4129,159
2025-03-11 11:10:02.676606,498,1.37596e-06,118,16,3913,5063,122,78,176,142,4961,265
2025-03-11 11:10:06.550374,513,1.57691e-06,118,34,792,10244,517,84,166,177,5634,264
2025-03-11 11:10:10.407500,528,1.58248e-06,175,86,191,9838,3337,102,272,206,6795,284
2025-03-11 11:10:14.309431,543,1.67081e-06,176,151,99,2967,12254,443,255,164,7478,338
2025-03-11 11:10:18.189921,558,1.7796e-06,216,202,138,739,14160,2372,196,190,7943,354
2025-03-11 11:10:22.060528,573,1.80724e-06,293,146,240,273,8273,9917,641,324,8516,654
2025-03-11 11:10:25.951542,588,1.82678e-06,232,192,432,152,2235,16809,2405,287,8850,741
2025-03-11 11:10:29.829787,603,1.82881e-06,229,107,263,197,325,12444,7709,179,9162,909
2025-03-11 11:10:33.690873,618,1.76518e-06,256,185,275,280,154,4522,17245,431,9578,774
2025-03-11 11:10:37.561706,633,1.71457e-06,280,288,309,301,233,1095,16559,1509,9509,1034
2025-03-11 11:10:41.453888,648,1.77949e-06,306,386,361,247,342,352,11483,6722,9899,690
2025-03-11 11:10:45.329713,663,1.77628e-06,327,302,266,299,482,362,4966,19637,10597,768
2025-03-11 11:10:49.218265,678,1.64928e-06,449,345,257,347,672,316,1976,25698,11041,1014
2025-03-11 11:10:53.096315,693,1.54623e-06,403,390,296,283,633,343,993,21244,10781,1093
2025-03-11 11:10:57.845694,396,2.97686e-07,330,6,6,6,6,6,6,6,695,6
2025-03-11 11:11:03.237605,411,5.28714e-07,1249,20,5,11,11,31,12,5,998,6
2025-03-11 11:11:07.098808,426,6.13896e-07,1282,754,5,33,35,47,59,31,1660,5
2025-03-11 11:11:10.960490,441,9.13153e-07,105,3076,100,9,34,44,40,37,1931,5
2025-03-11 11:11:14.835574,456,9.70512e-07,27,3672,1449,22,47,36,73,134,2869,38
2025-03-11 11:11:18.714549,471,1.22337e-06,48,553,5357,156,115,50,63,166,3236,83
2025-03-11 11:11:22.602278,486,1.22778e-06,128,24,6658,1248,123,53,119,89,4383,179
2025-03-11 11:11:26.482521,501,1.42715e-06,88,19,2867,6407,149,75,147,160,5059,248
2025-03-11 11:11:30.361306,516,1.59095e-06,136,40,518,10532,753,90,190,184,5831,284
2025-03-11 11:11:34.239606,531,1.58494e-06,182,98,156,8874,4629,126,292,180,7005,285
2025-03-11 11:11:38.115948,546,1.70138e-06,189,175,106,2212,13942,623,205,146,7546,356
2025-03-11 11:11:42.003945,561,1.78891e-06,231,184,154,554,13659,3267,239,214,8065,380
2025-03-11 11:11:45.890659,576,1.81073e-06,282,151,262,275,6436,12303,838,345,8618,698
2025-03-11 11:11:49.781650,591,1.83262e-06,235,197,453,151,1795,16460,3091,222,8905,651
2025-03-11 11:11:53.662890,606,1.82035e-06,222,106,230,210,226,10802,9450,197,9250,1059
2025-03-11 11:11:57.543691,621,1.75186e-06,262,205,293,292,164,3362,17858,542,9632,824
2025-03-11 11:12:01.422646,636,1.70889e-06,281,299,313,270,259,858,15700,2021,9417,978
