wavelength,power_1,CI_Low_1,CI_High_1,power_2,CI_Low_2,CI_High_2,power,CI_Low,CI_High,power_4,CI_Low_4,CI_High_4,power_4b,CI_Low_4b,CI_High_4b,power_5b,CI_Low_5b,CI_High_5b,trans,refl,trans_adj,refl_adj,trans_adj_bs,refl_adj_bs
406,5.15E-07,5.13E-07,5.17E-07,2.60E-07,2.60E-07,2.61E-07,2.55E-07,2.55E-07,2.55E-07,3.91E-09,3.82E-09,4.00E-09,4.47E-09,4.26E-09,4.69E-09,6.73E-09,6.60E-09,6.87E-09,50.48878789,49.49426016,50.11045551,49.10832825,49.99952456,48.55555766
407,5.28E-07,5.27E-07,5.29E-07,2.62E-07,2.62E-07,2.63E-07,2.66E-07,2.66E-07,2.66E-07,4.04E-09,3.86E-09,4.21E-09,4.21E-09,3.79E-09,4.64E-09,6.38E-09,5.80E-09,6.97E-09,49.66384847,50.38490593,49.275639,50.0022575,49.24277641,49.55494593
408,5.40E-07,5.39E-07,5.42E-07,2.63E-07,2.63E-07,2.64E-07,2.78E-07,2.78E-07,2.78E-07,3.83E-09,3.31E-09,4.34E-09,4.27E-09,3.65E-09,4.88E-09,6.49E-09,5.91E-09,7.07E-09,48.71680378,51.44560223,48.35084453,51.09911581,48.26927037,50.6025901
409,5.53E-07,5.52E-07,5.54E-07,2.63E-07,2.63E-07,2.63E-07,2.91E-07,2.91E-07,2.91E-07,3.77E-09,3.55E-09,3.99E-09,4.28E-09,3.95E-09,4.62E-09,6.15E-09,5.70E-09,6.59E-09,47.60625492,52.61527235,47.24657267,52.28997693,47.15352688,51.85748594
410,5.66E-07,5.65E-07,5.68E-07,2.63E-07,2.63E-07,2.63E-07,3.04E-07,3.04E-07,3.04E-07,3.68E-09,3.25E-09,4.12E-09,4.41E-09,4.16E-09,4.66E-09,6.20E-09,5.84E-09,6.56E-09,46.46208509,53.74231693,46.11140807,53.43932593,45.9825517,52.99251942
411,5.79E-07,5.78E-07,5.81E-07,2.63E-07,2.63E-07,2.64E-07,3.17E-07,3.17E-07,3.17E-07,3.91E-09,3.66E-09,4.16E-09,4.12E-09,3.73E-09,4.50E-09,6.11E-09,5.71E-09,6.51E-09,45.45395113,54.75969095,45.08330272,54.45227641,45.04748721,54.0697158
412,5.93E-07,5.92E-07,5.94E-07,2.64E-07,2.64E-07,2.65E-07,3.30E-07,3.30E-07,3.30E-07,3.60E-09,3.00E-09,4.20E-09,4.12E-09,3.44E-09,4.81E-09,6.42E-09,6.15E-09,6.68E-09,44.61430533,55.62884783,44.27568873,55.35757186,44.18708771,54.87975276
413,6.07E-07,6.05E-07,6.08E-07,2.67E-07,2.66E-07,2.67E-07,3.41E-07,3.41E-07,3.41E-07,3.69E-09,3.28E-09,4.09E-09,3.80E-09,3.66E-09,3.93E-09,6.24E-09,5.91E-09,6.56E-09,43.93718809,56.20166558,43.59444689,55.93390352,43.57598804,55.51086524
414,6.21E-07,6.19E-07,6.22E-07,2.70E-07,2.70E-07,2.70E-07,3.51E-07,3.51E-07,3.51E-07,3.79E-09,3.52E-09,4.06E-09,3.90E-09,3.66E-09,4.14E-09,6.03E-09,5.46E-09,6.61E-09,43.50868133,56.54282416,43.1616376,56.27585322,43.14367503,55.91211868
415,6.35E-07,6.33E-07,6.36E-07,2.75E-07,2.75E-07,2.76E-07,3.59E-07,3.59E-07,3.59E-07,3.52E-09,3.19E-09,3.86E-09,4.00E-09,3.59E-09,4.41E-09,6.08E-09,5.70E-09,6.45E-09,43.39253951,56.58367384,43.07650022,56.34128062,43.00077918,55.93647751
